=== ACC HANDOFF LOG: campaign_20260302_2018 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] alf_v_156 | Token Index: 13 | Drift: 0.0960 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_33 | Token Index: 8 | Drift: 0.0893 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_33 | Token Index: 14 | Drift: 0.0912 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_33 | Token Index: 17 | Drift: 0.0941 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_33 | Token Index: 18 | Drift: 0.0986 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_42 | Token Index: 6 | Drift: 0.0774 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_42 | Token Index: 12 | Drift: 0.0989 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_42 | Token Index: 13 | Drift: 0.1059 | Teacher: Llama-3.2-11B
[HANDOFF] 167 | Token Index: 12 | Drift: 0.0900 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_151 | Token Index: 8 | Drift: 0.0969 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_151 | Token Index: 13 | Drift: 0.1023 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_151 | Token Index: 16 | Drift: 0.0992 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_151 | Token Index: 17 | Drift: 0.1003 | Teacher: Llama-3.2-11B
[HANDOFF] 1455 | Token Index: 2 | Drift: 0.0926 | Teacher: Llama-3.2-11B
[HANDOFF] 439 | Token Index: 8 | Drift: 0.0779 | Teacher: Llama-3.2-11B
[HANDOFF] 1635 | Token Index: 2 | Drift: 0.0755 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_159 | Token Index: 8 | Drift: 0.0824 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_159 | Token Index: 13 | Drift: 0.0865 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_159 | Token Index: 16 | Drift: 0.0931 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_159 | Token Index: 17 | Drift: 0.0973 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_24 | Token Index: 12 | Drift: 0.0925 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_24 | Token Index: 13 | Drift: 0.1038 | Teacher: Llama-3.2-11B
[HANDOFF] 1092 | Token Index: 2 | Drift: 0.0878 | Teacher: Llama-3.2-11B
[HANDOFF] 2947 | Token Index: 2 | Drift: 0.0800 | Teacher: Llama-3.2-11B
